No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32164.65,27.93,113.23,-0.0144,1058665,Yes
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,7650.93,7.58,29.55,-0.0024,4902985,Yes
5,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7746.39,15.09,11.74,0.0086,60394593,Yes
8,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6630.12,42.81,81.49,-0.0227,842770,Yes
9,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3621.3,,60.43,0.0585,3074991,Yes
12,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3164713.09,32.42,213.25,0.0509,108483103,Yes
19,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4450.94,11.99,40.23,0.0083,69886,Yes
21,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,346775.38,93.42,196.3,-0.0113,4057267,Yes
22,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,4604.62,11.77,66.82,-0.0058,409543,Yes
25,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,35238.37,13.86,2.26,0.0226,37804036,Yes
27,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4509.76,8.38,229.38,0.001,193643,Yes
29,ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2950.41,37.94,47.39,0.0089,330690,Yes
30,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,81746.87,32.84,130.5,0.0042,11212805,Yes
33,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2242.23,13.2,11.66,-0.011,2180287,Yes
35,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,227878.28,16.37,130.93,0.0018,5170125,Yes
38,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4134.72,53.14,84.7,-0.0052,307625,Yes
39,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3983.21,17.33,23.8,0.0068,2090242,Yes
46,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33637.97,9.27,89.76,0.0124,2386414,Yes
48,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6245.01,,9.85,-0.0465,26201136,Yes
50,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,10967.39,11.94,19.59,0.0161,6032937,Yes
54,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4421.52,16.61,42.15,0.0147,1159230,Yes
55,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2432.85,15.48,75.72,-0.0294,1090496,Yes
56,ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,3894.39,,70.67,-0.019,491584,Yes
57,ACM,AECOM,Industrials,Engineering & Construction,USA,15721.28,23.65,118.83,-0.0014,1070271,Yes
59,ACN,Accenture plc,Technology,Information Technology Services,Ireland,154180.94,19.7,247.54,0.0019,8064669,Yes
65,ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,5339.7,8.23,36.2,0.0084,257088,Yes
67,ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2451.36,,14.33,0.0127,2103773,Yes
73,ADBE,Adobe Inc,Technology,Software - Application,USA,146612.01,22.1,345.62,0.0203,3347165,Yes
74,ADC,Agree Realty Corp,Real Estate,REIT - Retail,USA,8153.88,43.94,73.68,-0.0079,1123563,Yes
77,ADI,Analog Devices Inc,Technology,Semiconductors,USA,109517.02,60.08,220.69,0,2547311,Yes
78,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,27255.93,24.97,56.73,-0.0154,4889936,Yes
79,ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,4426.13,21.96,18.54,-0.0222,3941130,Yes
81,ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122442.55,30.23,301.64,0.0073,1879514,Yes
84,ADSK,Autodesk Inc,Technology,Software - Application,USA,65291.59,65.39,305.18,0.02,1163565,Yes
85,ADT,ADT Inc,Industrials,Security & Protection Services,USA,7132.31,12.85,8.58,0.0214,11810016,Yes
88,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,2114.8,25.35,114.94,-0.014,254100,Yes
91,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,27584.52,22.32,101.62,-0.0038,1492327,Yes
92,AEG,Aegon Ltd,Financial,Insurance - Diversified,Netherlands,11498.9,15.47,7.26,0.0197,5018418,Yes
94,AEIS,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,USA,5264.6,63.43,139.81,0.0016,864430,Yes
95,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,68026.88,23.03,135.42,0.0065,2278266,Yes
96,AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,USA,2221.29,13.12,12.82,0.0666,16552394,Yes
97,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,60693.86,16.63,113.49,0.0022,3385292,Yes
98,AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services,Ireland,19212.2,6.78,108.81,0.0066,1382147,Yes
99,AES,AES Corp,Utilities,Utilities - Diversified,USA,9142.72,9.07,12.84,0.0086,8651335,Yes
105,AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,10661.91,14.01,127.66,0.0269,685168,Yes
107,AFL,Aflac Inc,Financial,Insurance - Life,USA,55313.39,23.13,102.31,0.0343,3640277,Yes
108,AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,24930.52,,77.28,0.0323,6297643,Yes
110,AG,First Majestic Silver Corporation,Basic Materials,Silver,Canada,4060.86,,8.38,0.0036,10253380,Yes
111,AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery,USA,8438.06,85,113.08,-0.0048,725267,Yes
